book_id	title	authors	average_rating	ratings_count	text_review	num_pages	publication	publisher	genre
1	Harry Potter and the Half-Blood Prince	J.K. Rowling	4.57	2504799	40495	652	September 16th 2006	Scholastic Inc.	Fantasy
2	Harry Potter and the Order of the Phoenix	J.K. Rowling	4.50	2579681	43609	870	September 2004	Scholastic Inc.	Fantasy
3	Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.48	7273748	115230	309	November 1st 2003	Scholastic Inc	Fantasy
5	Harry Potter and the Prisoner of Azkaban	J.K. Rowling	4.57	2900083	57085	435	May 1st 2004	Scholastic Inc.	Fantasy
6	Harry Potter and the Goblet of Fire	J.K. Rowling	4.56	2669994	47828	734	September 28th 2002	Scholastic	Fantasy
8	Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)	J.K. Rowling	4.79	56405	183	2690	September 13th 2004	Scholastic	Fantasy
10	Harry Potter Collection	J.K. Rowling	4.73	31114	967	3342	September 12th 2005	Scholastic	Fantasy
13	The Ultimate Hitchhiker's Guide to the Galaxy	Douglas Adams	4.36	292035	5394	815	April 28th 2002	Del Rey Books	Science Fiction
21	A Short History of Nearly Everything	Bill Bryson	4.19	308796	12631	544	September 14th 2004	Broadway Books	Nonfiction
22	Bill Bryson's African Diary	Bill Bryson	3.45	8762	596	55	December 3rd 2002	Broadway Books	Travel
24	In a Sunburned Country	Bill Bryson	4.07	92599	5710	335	May 15th 2001	Broadway Books	Travel
25	I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away	Bill Bryson	3.90	59723	2913	304	June 28th 2000	Broadway Books	Nonfiction
26	The Lost Continent: Travels in Small Town America	Bill Bryson	3.83	52695	2782	299	August 28th 1990	William Morrow Paperbacks	Travel
27	Neither Here nor There: Travels in Europe	Bill Bryson	3.86	61645	2958	254	March 28th 1993	William Morrow Paperbacks	Travel
28	Notes from a Small Island	Bill Bryson	3.92	96370	4322	324	May 28th 1997	William Morrow Paperbacks	Travel
29	The Mother Tongue: English and How It Got That Way	Bill Bryson	3.92	36375	2765	270	September 28th 1991	William Morrow Paperbacks	Nonfiction
30	J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.60	112359	1813	1728	September 25th 2012	Ballantine Books	Fantasy
33	The Lord of the Rings	J.R.R. Tolkien	4.50	578868	11771	1216	October 12th 2005	Houghton Mifflin Harcourt	Fantasy
34	The Fellowship of the Ring	J.R.R. Tolkien	4.36	2399037	23498	398	September 5th 2003	Houghton Mifflin Harcourt	Fantasy
50	Hatchet	Gary Paulsen	3.73	317038	14495	208	April 1st 2000	Atheneum Books for Young Readers: Richard Jackson Books	Young Adult
58	Changeling	Delia Sherman	3.61	1061	122	256	August 17th 2006	Viking Juvenile	Fantasy
59	The Changeling Sea	Patricia A. McKillip	4.07	4986	384	137	April 14th 2003	Firebird	Fantasy
61	The Changeling	Zilpha Keatley Snyder	4.17	1394	136	228	June 8th 2004	iUniverse	Fiction
67	The Known World	Edward P. Jones	3.81	37036	3284	388	August 29th 2006	Amistad	Historical
78	Annals of the Former World	John McPhee	4.35	3610	262	720	January 6th 1999	Farrar, Straus and Giroux	Science
79	Coming Into the Country	John McPhee	4.22	6264	311	448	April 1st 1991	Farrar, Straus and Giroux	Nonfiction
93	Heidi	Johanna Spyri	3.99	174738	3991	352	November 15th 2002	Kingfisher	Classics
105	Chapterhouse: Dune	Frank Herbert	3.91	47752	934	436	July 1st 1987	Ace Books	Science Fiction
112	Children of Dune	Frank Herbert	3.94	110085	2532	408	May 15th 1987	Ace Books	Science Fiction
117	Heretics of Dune	Frank Herbert	3.87	56127	1092	471	August 15th 1987	Ace Books	Science Fiction
122	The Power of One	Bryce Courtenay	4.32	81013	5307	544	September 29th 1996	Ballantine Books	Fiction
160	Tolstoy: Anna Karenina	Anthony Thorlby	4.21	1276	33	128	November 26th 1987	Cambridge University Press	Classics
204	The Long Shadow	Cynthia Harrod-Eagles	4.12	483	21	367	June 1st 1994	Little, Brown Book Group	Historical
208	A Shadow in Summer	Daniel Abraham	3.61	11419	773	331	March 7th 2006	Tor Books	Fantasy
231	I am Charlotte Simmons	Tom Wolfe	3.42	25810	2035	738	August 30th 2005	Picador USA	Fiction
245	Henry Miller on Writing	Henry Miller	4.23	1055	56	217	February 1st 1964	New Directions Publishing	Language
246	The Colossus of Maroussi	Henry Miller	3.99	3518	302	244	January 17th 1975	New Directions	Travel
247	Quiet Days in Clichy	Henry Miller	3.68	4487	259	154	January 13th 1994	Grove Press	Fiction
248	Big Sur and the Oranges of Hieronymus Bosch	Henry Miller	4.02	2722	161	400	January 17th 1957	New Directions	Fiction
249	Tropic of Cancer	Henry Miller	3.67	66203	3331	318	January 6th 1994	Grove Press	Fiction
250	Tropic of Capricorn	Henry Miller	3.78	17978	678	348	January 13th 1994	Grove Press	Fiction
252	Sexus	Henry Miller	3.97	8855	358	506	January 12th 1994	Grove Press	Fiction
253	The Air-Conditioned Nightmare	Henry Miller	3.83	3002	181	292	January 17th 1970	New Directions	Fiction
264	The Portrait of a Lady	Henry James	3.77	74212	2876	797	September 30th 2003	Penguin Classics	Classics
275	The Lover	Marguerite Duras	3.74	37285	2742	117	September 8th 1998	Pantheon Books	Fiction
278	The War	Marguerite Duras	3.85	2354	176	192	August 1st 1994	The New Press	Nonfiction
290	Jesus the Son of Man	Kahlil Gibran	3.99	2294	204	216	February 21st 1995	Knopf	Religion
291	The Broken Wings	Kahlil Gibran	3.93	17262	2103	132	March 3rd 2003	Citadel	Poetry
295	Treasure Island	Robert Louis Stevenson	3.83	410068	11996	311	September 15th 2001	Kingfisher	Classics
304	Daniel Deronda	George Eliot	3.85	23434	1001	796	2002	Modern Library	Classics
320	One Hundred Years of Solitude	Gabriel García Márquez	4.08	769639	31411	417	June 24th 2003	Harper	Fiction
327	Why Zebras Don't Get Ulcers	Robert M. Sapolsky	4.17	9195	801	560	September 15th 2004	Holt Paperbacks	Nonfiction
343	Perfume: The Story of a Murderer	Patrick Süskind	4.02	340892	14875	263	1987	Penguin Books	Fiction
348	The Door Into Summer	Robert A. Heinlein	4.01	23036	1144	304	June 17th 1997	Del Rey	Science Fiction
350	Stranger in a Strange Land	Robert A. Heinlein	3.92	278875	8178	525	October 1st 1991	Ace	Science Fiction
351	Starman Jones	Robert A. Heinlein	3.85	7617	304	272	April 19th 2005	Pocket Books	Science Fiction
352	The Notebooks of Lazarus Long	Robert A. Heinlein	4.07	3605	40	56	August 3rd 2004	Baen	Science Fiction
353	Time Enough for Love	Robert A. Heinlein	3.97	32707	845	589	August 15th 1988	Ace	Science Fiction
354	To Sail Beyond the Sunset	Robert A. Heinlein	3.87	10685	221	434	June 1st 1988	Ace Books	Science Fiction
